1 2	0.707107 
2 1	-0.707107 

1 2 1	-0.428967 
2 1 1	-0.850871 
2 2 2	-0.850871 
3 1 1	0.303325 
3 2 2	-0.303325 
4 1 2	-0.428967 

1 2 1	-0.474078 
2 1 1	0.553604 
2 2 2	-0.700762 
2 2 3	0.391457 
3 1 1	0.627579 
3 2 2	0.0945101 
3 2 3	0.443765 
4 1 1	-0.273709 
4 2 2	-9.38695e-10 
4 2 3	0.387083 
5 1 2	0.700762 
5 1 3	0.391457 
5 2 4	-0.553604 
6 1 2	-0.0945101 
6 1 3	0.443765 
6 2 4	-0.627579 
7 1 2	-1.25922e-09 
7 1 3	-0.387083 
7 2 4	-0.273709 
8 1 4	-0.474078 

1 2 1	-0.325743 
2 1 1	0.315162 
2 2 2	0.434774 
2 2 3	0.43703 
2 2 4	-0.181959 
3 1 1	-0.799234 
3 2 2	0.124734 
3 2 3	-0.550366 
3 2 4	0.461438 
4 1 1	-0.35953 
4 2 2	-0.0149128 
4 2 3	0.214567 
4 2 4	0.207574 
5 1 1	0.162872 
5 2 2	-1.66149e-09 
5 2 3	9.41574e-09 
5 2 4	0.282102 
6 1 2	-0.832199 
6 1 3	0.219859 
6 1 4	3.94576e-08 
6 2 5	-0.832199 
6 2 6	0.219859 
6 2 7	5.39457e-08 
7 1 2	-0.307432 
7 1 3	-0.309027 
7 1 4	-0.257329 
7 2 5	0.307432 
7 2 6	0.309027 
7 2 7	-0.257328 
8 1 2	-0.0882001 
8 1 3	0.389167 
8 1 4	0.652572 
8 2 5	0.0882001 
8 2 6	-0.389167 
8 2 7	0.652572 
9 1 2	0.0152078 
9 1 3	0.376507 
9 1 4	-4.70889e-08 
9 2 5	0.0152078 
9 2 6	0.376507 
9 2 7	-6.26128e-08 
10 1 2	0.010545 
10 1 3	-0.151722 
10 1 4	0.293555 
10 2 5	-0.010545 
10 2 6	0.151722 
10 2 7	0.293555 
11 1 2	2.37956e-09 
11 1 3	-1.37797e-08 
11 1 4	-0.230335 
11 2 5	-2.07747e-09 
11 2 6	1.69282e-08 
11 2 7	0.230335 
12 1 5	-0.434774 
12 1 6	-0.43703 
12 1 7	-0.181959 
12 2 8	0.315162 
13 1 5	-0.124734 
13 1 6	0.550366 
13 1 7	0.461438 
13 2 8	-0.799234 
